week,attempt,ydstogo,yardline_100,minutes_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,dome,KICKOFF,PUNT,home,random_var
2,0,8,73,50.3666666666667,3,3,-7,63.2,23.5,13.3,1,5,7,0,1,0,1,0.752540539548286
2,0,10,41,48.3833333333333,3,3,7,72,61.1,20,0,3,7,0,0,1,0,0.292227206706409
2,0,8,49,46.3,3,3,-7,63.2,23.5,13.3,1,5,7,0,0,0,1,-0.611258534002846
2,0,5,73,43.5166666666667,3,3,7,72,61.1,20,0,3,7,0,0,1,0,-0.55995384807774
2,0,2,26,39.3166666666667,3,3,0,72,61.1,20,0,3,7,0,1,0,0,-0.968928689484263
2,0,5,9,33.0833333333333,3,3,-3,63.2,23.5,13.3,1,5,7,0,1,0,1,-0.687513539669947
2,0,19,22,30.0833333333333,0,1,0,72,61.1,20,0,3,7,0,1,0,0,-0.413496757489019
2,0,5,70,9.83333333333333,2,2,-10,63.2,23.5,13.3,1,5,7,0,1,0,1,-0.19152038961298
2,0,4,63,7.78333333333333,2,2,10,72,61.1,20,0,3,7,0,0,1,0,0.082097662255476
2,1,4,45,5.65,2,2,-10,63.2,23.5,13.3,1,5,7,0,0,1,1,-0.0810471089994485
2,0,5,8,54.1,3,3,0,52,47.8,31.2,2,3,7,0,1,0,1,-0.580540429534239
2,0,6,22,44.9333333333333,3,3,-4,52,47.8,31.2,2,3,7,0,1,0,1,0.96874675372703
2,0,24,64,43.4333333333333,3,3,4,45.2,41.7,30.8,2,1,7,0,0,0,0,1.04276034557297
2,0,8,73,39.4833333333333,3,3,-3,45.2,41.7,30.8,2,1,7,0,1,0,0,-1.81381060057975
2,0,1,72,36.95,3,3,3,52,47.8,31.2,2,3,7,0,0,1,1,-0.938332555102062
2,0,20,34,32,3,3,-3,45.2,41.7,30.8,2,1,7,0,0,1,0,0.421038936770988
2,0,15,68,26.7,3,3,-3,45.2,41.7,30.8,2,1,7,0,1,0,0,1.25047282684619
2,1,1,32,21.3333333333333,3,3,3,52,47.8,31.2,2,3,7,0,0,1,1,0.0875936963774944
2,0,10,54,15.6833333333333,3,3,-10,45.2,41.7,30.8,2,1,7,0,1,0,0,0.197201131311186
2,0,1,71,13.7,3,3,10,52,47.8,31.2,2,3,7,0,0,1,1,0.136734289548105
2,0,10,84,12.65,3,3,-10,45.2,41.7,30.8,2,1,7,0,0,1,0,-0.577628299014693
2,0,3,58,10.3,3,3,10,52,47.8,31.2,2,3,7,0,0,1,1,0.405196757163673
2,0,7,43,2.63333333333333,3,1,3,52,47.8,31.2,2,3,7,0,1,0,1,1.28313470544593
2,0,8,25,53.8333333333333,2,3,-7,70.6,45.8,35.7,2,5,8,0,1,0,0,-0.99551807692366
2,0,16,25,51.7,2,3,-4,70.6,45.8,35.7,2,5,8,0,0,0,0,0.744541747608221
2,0,3,60,49.4166666666667,3,2,4,13,21.1,20,0,3,8,0,0,0,1,-0.532531859722806
2,1,1,43,45.4166666666667,2,3,-4,70.6,45.8,35.7,2,5,8,0,0,1,0,-0.473918975629119
2,0,12,40,41.45,3,2,-4,13,21.1,20,0,3,8,0,1,0,1,0.853193903853054
2,0,12,93,40.7333333333333,2,3,4,70.6,45.8,35.7,2,5,8,0,0,1,0,-0.237234573398167
2,0,5,34,39.2333333333333,3,2,-4,13,21.1,20,0,3,8,0,0,1,1,0.501449809039574
2,0,7,72,37.8,2,3,1,70.6,45.8,35.7,2,5,8,0,1,0,0,0.396229329118918
2,0,11,76,35.2666666666667,2,3,-5,70.6,45.8,35.7,2,5,8,0,1,0,0,0.288737784788937
2,0,10,41,32.8666666666667,3,2,5,13,21.1,20,0,3,8,0,0,1,1,-2.73632940001358
2,0,14,37,30.45,2,2,-5,70.6,45.8,35.7,2,5,8,0,0,1,0,0.121497229430015
2,0,2,31,26.85,3,3,2,13,21.1,20,0,3,8,0,1,0,1,-1.27680714384261
2,0,6,48,22.6666666666667,3,3,-3,13,21.1,20,0,3,8,0,1,0,1,1.58885081724804
2,0,11,52,19.1333333333333,3,3,3,70.6,45.8,35.7,2,5,8,0,0,1,0,0.193676604935677
2,0,9,41,16.3166666666667,3,2,-3,13,21.1,20,0,3,8,0,0,1,1,-0.286114233663178
2,0,21,67,9.23333333333333,2,2,-3,13,21.1,20,0,3,8,0,0,0,1,0.713679999044448
2,0,13,67,4.73333333333333,2,2,-4,70.6,45.8,35.7,2,5,8,0,1,0,0,-0.292421595434591
2,0,4,69,3.03333333333333,2,1,4,13,21.1,20,0,3,8,0,0,1,1,-1.27665484259758
2,1,9,49,1.08333333333333,1,2,-4,70.6,45.8,35.7,2,5,8,0,0,1,0,-0.255053326375949
2,1,12,33,59.0333333333333,3,3,0,60.9,52.6,43.8,0,2,7,0,1,0,0,2.02826093478646
2,0,17,38,59.0333333333333,3,3,0,60.9,52.6,43.8,0,2,7,0,1,0,0,0.123542113228725
2,0,22,72,55.6833333333333,3,3,0,60.9,52.6,43.8,0,2,7,0,0,0,0,-1.39772741432811
2,1,1,1,48.8833333333333,3,3,0,68.2,53.3,20,2,3,7,0,0,1,1,0.109265340480219
2,0,6,6,48.8833333333333,3,3,0,68.2,53.3,20,2,3,7,0,0,1,1,-0.398470862413121
2,1,4,41,38.9,2,2,-4,68.2,53.3,20,2,3,7,0,1,0,1,0.450331492845206
2,0,6,15,33.1666666666667,2,2,4,60.9,52.6,43.8,0,2,7,0,0,0,0,1.0073600624371
2,1,1,26,30.5,1,2,-7,68.2,53.3,20,2,3,7,0,1,0,1,-0.192671593102787
2,0,15,80,29.6166666666667,3,3,-1,68.2,53.3,20,2,3,7,0,1,0,1,1.21811648958299
2,0,13,15,18.2,3,3,-8,68.2,53.3,20,2,3,7,0,1,0,1,0.196612131465069
2,1,4,6,11.9,3,2,-12,68.2,53.3,20,2,3,7,0,1,0,1,1.10282058618905
2,0,8,73,11.05,2,3,5,60.9,52.6,43.8,0,2,7,0,1,0,0,-1.23991291918266
2,0,7,21,8.21666666666667,3,2,-5,68.2,53.3,20,2,3,7,0,0,1,1,-0.0698382755258508
2,1,1,66,6.3,2,3,2,60.9,52.6,43.8,0,2,7,0,1,0,0,2.3134978453381
2,0,5,70,6.3,2,3,2,60.9,52.6,43.8,0,2,7,0,1,0,0,1.73899976312584
