week,ydstogo,yardline_100,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,converted,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,rush,dome,KICKOFF,PUNT,home,random_var,minutes_remaining
2,2,56,3,3,0,1,72,61.1,20,0,3,7,0,0,1,0,0,1.2520831403252,57.45
2,4,10,3,3,0,1,72,61.1,20,0,3,7,0,0,1,0,0,-1.02819397661033,53.4
2,8,73,3,3,-7,0,63.2,23.5,13.3,1,5,7,0,0,1,0,1,-0.899624330149548,50.45
2,10,41,3,3,7,0,72,61.1,20,0,3,7,0,0,0,1,0,-1.28980601201016,48.45
2,9,50,3,3,-7,0,63.2,23.5,13.3,1,5,7,0,0,0,0,1,0.215762676830146,46.9
2,5,73,3,3,7,0,72,61.1,20,0,3,7,0,0,0,1,0,0.603086281328348,43.583333333333336
2,1,55,3,3,0,1,72,61.1,20,0,3,7,1,0,1,0,0,-0.343563643885231,42.4
2,3,27,3,3,0,0,72,61.1,20,0,3,7,1,0,1,0,0,-0.603920343882569,40.03333333333333
2,2,36,3,3,-3,1,63.2,23.5,13.3,1,5,7,0,0,1,0,1,1.83380218809481,37.11666666666667
2,1,16,3,3,-3,1,63.2,23.5,13.3,1,5,7,1,0,1,0,1,0.427018620962055,35.083333333333336
2,5,9,3,3,-3,0,63.2,23.5,13.3,1,5,7,0,0,1,0,1,0.564075463909904,33.15
2,29,32,1,2,0,0,72,61.1,20,0,3,7,1,0,1,0,0,0.692206036505832,30.183333333333334
2,2,23,2,3,-3,1,63.2,23.5,13.3,1,5,7,0,0,1,0,1,-0.243350676787105,27.166666666666668
2,3,3,3,2,3,1,72,61.1,20,0,3,7,0,0,0,0,0,-0.147756826697482,23.733333333333334
2,3,68,2,3,-10,1,63.2,23.5,13.3,1,5,7,0,0,1,0,1,2.29188637746662,22.466666666666665
2,4,49,2,3,-10,1,63.2,23.5,13.3,1,5,7,0,0,1,0,1,-0.341513499534832,20.65
